Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",56.500000,-79.000000,-90.000000,top
"C1","100nF","C_0805_2012Metric",58.550000,-93.412500,-90.000000,top
"C2","10uF","C_0805_2012Metric",53.500000,-111.500000,-90.000000,top
"C3","22uF","C_1206_3216Metric",60.500000,-101.500000,0.000000,top
"C4","22uF","C_1206_3216Metric",60.500000,-104.850000,0.000000,top
"D1","pwr led","LED_0805_2012Metric",52.550000,-99.000000,180.000000,top
"J1","ESP32_LEFT_SIDE","PinSocket_1x19_P2.54mm_Vertical",68.295000,-118.200000,180.000000,top
"J2","ESP32_RIGHT_SIDE","PinSocket_1x19_P2.54mm_Vertical",92.000000,-118.200000,180.000000,top
"J3","PH","CONN-SMD_4P-P2.00_ZX-HY2.0-4PWT",105.830000,-107.040000,90.000000,top
"J4","TDS","PinHeader_1x03_P2.54mm_Vertical",102.000000,-84.920000,0.000000,top
"J5","TURBIDITY","PinSocket_1x03_P2.54mm_Vertical",102.000000,-73.460000,0.000000,top
"L1","1uH","L_1210_3225Metric",57.500000,-111.500000,180.000000,top
"Q1","FS8205","SOT95P280X145-6N",58.500000,-97.500000,-90.000000,top
"Q2","AO3401A","SOT-23",57.500000,-89.412500,180.000000,top
"R1","100Ω","R_0805_2012Metric",61.550000,-85.000000,-90.000000,top
"R2","1kΩ","R_0805_2012Metric",62.550000,-93.500000,-90.000000,top
"R3","100kΩ","R_0805_2012Metric",64.050000,-85.000000,90.000000,top
"R4","47kΩ","R_0805_2012Metric",101.910000,-98.540000,0.000000,top
"R5","75kΩ","R_0805_2012Metric",101.910000,-95.540000,0.000000,top
"R6","732kΩ","R_0805_2012Metric",55.500000,-104.500000,180.000000,top
"R7","100kΩ","R_0805_2012Metric",53.087500,-107.000000,180.000000,top
"R8","470Ω","R_0805_2012Metric",55.500000,-102.000000,180.000000,top
"SW1","on/off switch","SW_Slide_SPDT_Angled_CK_OS102011MA1Q",52.550000,-88.500000,-90.000000,top
"U1","DW01A","SOT-23-6",62.600000,-89.137500,90.000000,top
"U2","TPS61023DRLT","SOT50P160X60-6N",57.265000,-108.000000,0.000000,top
