"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"Battery";;;
2;"C1";"C_0805_2012Metric";1;"100nF";;;
3;"C2";"C_0805_2012Metric";1;"10uF";;;
4;"C3, C4";"C_1206_3216Metric";2;"22uF";;;
5;"D1";"LED_0805_2012Metric";1;"pwr led";;;
6;"J1";"PinSocket_1x19_P2.54mm_Vertical";1;"ESP32_LEFT_SIDE";;;
7;"J2";"PinSocket_1x19_P2.54mm_Vertical";1;"ESP32_RIGHT_SIDE";;;
8;"J3";"CONN-SMD_4P-P2.00_ZX-HY2.0-4PWT";1;"PH";;;
9;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"TDS";;;
10;"J5";"PinSocket_1x03_P2.54mm_Vertical";1;"TURBIDITY";;;
11;"L1";"L_1210_3225Metric";1;"1uH";;;
12;"Q1";"SOT95P280X145-6N";1;"FS8205";;;
13;"Q2";"SOT-23";1;"AO3401A";;;
14;"R1";"R_0805_2012Metric";1;"100Ω";;;
15;"R2";"R_0805_2012Metric";1;"1kΩ";;;
16;"R3, R7";"R_0805_2012Metric";2;"100kΩ";;;
17;"R4";"R_0805_2012Metric";1;"47kΩ";;;
18;"R5";"R_0805_2012Metric";1;"75kΩ";;;
19;"R6";"R_0805_2012Metric";1;"732kΩ";;;
20;"R8";"R_0805_2012Metric";1;"470Ω";;;
21;"SW1";"SW_Slide_SPDT_Angled_CK_OS102011MA1Q";1;"on/off switch";;;
22;"U1";"SOT-23-6";1;"DW01A";;;
23;"U2";"SOT50P160X60-6N";1;"TPS61023DRLT";;;
